original_prompt,template,optimized_prompt
write a basic websocket server in Nodejs,code,"<thinking>Node.js Websockets. Use ws library. Handle connection open, message, close events.</thinking> <output><role>Node.js Dev</role><task>Write Websocket Server.</task><instructions>Implement ws module server listening on port, echo back received messages.</instructions><output_format>Node.js script.</output_format><constraints>Provide standard npm install instruction in comments.</constraints></output>"
find duplicates in list Python,code,<thinking>Duplicate search. Using set traversal to achieve O(n) runtime complexity.</thinking> <output><role>Developer</role><task>Find duplicates.</task><instructions>Write helper function returning set of duplicate elements in an input list.</instructions><output_format>Python utility.</output_format><constraints>Must run in linear time.</constraints></output>
send HTTP post request in Go,code,"<thinking>Go HTTP client. Send POST payload, handle response bytes and connection close defer.</thinking> <output><role>Go Lead</role><task>HTTP POST Client.</task><instructions>Use net/http client to send JSON payload. Read response body safely.</instructions><output_format>Go code.</output_format><constraints>Decompress responses if server encoding dictates.</constraints></output>"
reverse a linked list in Python,code,"<thinking>Linked list traversal. Iterative node updates (previous, current, next) pointer operations.</thinking> <output><role>Engineer</role><task>Reverse linked list.</task><instructions>Write iterative Python function swapping list direction.</instructions><output_format>Python utility.</output_format><constraints>Space complexity must be O(1).</constraints></output>"
javascript deep clone object,code,"<thinking>Deep cloning objects. Handle nested structures, arrays, dates, maps without JSON.stringify limitations.</thinking> <output><role>JS dev</role><task>Deep clone object.</task><instructions>Write custom recursive clone utility checking item prototypes.</instructions><output_format>JS file.</output_format><constraints>Do not lose functional references in child properties.</constraints></output>"
parse URL query parameters in Go,code,<thinking>Go URL parsing. Use net/url package ParseQuery methods.</thinking> <output><role>Go engineer</role><task>Parse query string.</task><instructions>Write Go handler decoding query parameters into custom map data structures.</instructions><output_format>Go code.</output_format><constraints>Verify proper key presence check logic.</constraints></output>
read JSON file python,code,"<thinking>Python JSON read. Use json.load, context manager open syntax.</thinking> <output><role>Developer</role><task>Read JSON.</task><instructions>Write function loading dictionary configurations from file path.</instructions><output_format>Python function.</output_format><constraints>Add JSONDecodeError validation try-except block.</constraints></output>"
implement bubble sort algorithm Python,code,"<thinking>Bubble sort. Nested array scans swapping adjacent elements, optimization flag for sorted sweeps.</thinking> <output><role>Teacher</role><task>Implement Bubble Sort.</task><instructions>Write classic bubble sort in Python with a boolean sorted flag check.</instructions><output_format>Python code.</output_format><constraints>Time complexity must be explained.</constraints></output>"
convert string to integer javascript,code,"<thinking>Javascript string parsing. Use parseInt with explicit radix (base 10), checking NaN cases.</thinking> <output><role>Frontend dev</role><task>Convert string to integer.</task><instructions>Write function converting string, returning custom default if NaN.</instructions><output_format>JS function.</output_format><constraints>Radix parameter must be defined as 10.</constraints></output>"
implement queue data structure Go,code,<thinking>Go queue representation. Use slice buffer with Mutex synchronization protection.</thinking> <output><role>Go Dev</role><task>Implement Thread-safe Queue.</task><instructions>Write Queue struct with Enqueue and Dequeue methods protected by Mutex locks.</instructions><output_format>Go package code.</output_format><constraints>Support generic structures if possible.</constraints></output>
write a simple TCP server in Python,code,"<thinking>Python socket API. Listen, bind, accept client connections, thread spawns for multi-client handles.</thinking> <output><role>Network python Dev</role><task>Write TCP Server.</task><instructions>Use socket library. Listen on local port, accept loop dispatching threads.</instructions><output_format>Python script.</output_format><constraints>Close sockets on shutdown hook intercept.</constraints></output>"
flatten nested array javascript,code,<thinking>JS array flattening. Use recursive reduce/concat or Array.prototype.flat.</thinking> <output><role>JS Dev</role><task>Flatten array.</task><instructions>Write custom recursive array flatten function supporting depth parameter.</instructions><output_format>JS function.</output_format><constraints>Do not rely on flat() native call directly.</constraints></output>
hash a password using bcrypt in Go,code,<thinking>Go cryptography. Use golang.org/x/crypto/bcrypt hash generation/comparison methods.</thinking> <output><role>SecOps developer</role><task>Hash passwords in Go.</task><instructions>Write password hash helper returning bytes and login match checking boolean.</instructions><output_format>Go code.</output_format><constraints>Check execution cost values.</constraints></output>
implement DFS graph traversal Python,code,<thinking>DFS graph search. Use recursive traversal path checks or iterative tracking using manual stack.</thinking> <output><role>Python Engineer</role><task>DFS graph traversal.</task><instructions>Write traversal function logging visited nodes using adjacency lists.</instructions><output_format>Python function.</output_format><constraints>Represent graph as adjacency map dictionary.</constraints></output>
